commune,population
Bresson,664
Brié et Angonnes,2533
Champ sur Drac,3255
Champagnier,1306
Claix,1064
Corenc,4101
Domène,6670
Echirolles,36970
Eybens,10112
Fontaine,205
Fontanil Cornillon,3404
Gières,7140
Grenoble,158240
Herbeys,1370
Jarrie,495
La Tronche,6559
Le Gua,2103
Le Pont de Claix,10879
Le Sappey en Chartreuse,1133
Meylan,18221
Miribel Lanchâtre,454
Montchaboud,337
Murianette,859
Notre Dame de Commiers,543
Notre Dame de Mésage,1121
Noyarey,2242
Poisat,2120
Proveysieux,513
Quaix en Chartreuse,901
Saint Barthélémy de Séchilienne,428
Saint Egrève,16015
Saint Georges de Commiers,2592
Saint Martin Le Vinoux,5851
Saint Martin d'Hères,38188
Saint Paul de Varces,2235
Saint Pierre de Mésage,784
Sarcenas,227
Sassenage,11339
Seyssinet Pariset,11792
Seyssins,7907
Séchilienne,1043
Varces Allières et Risset,8329
Vaulnaveys le Bas,1341
Vaulnaveys le Haut,3983
Venon,405
Veurey,1420
Vif,8614
Vizille,7305
